epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,10531.3,1.5845,2.71794,0.02406,0.21715,0.19148,0.13559,0.06468,nan,nan,nan,0.000358378,0.000358378,0.000358378
73,10677.5,1.61438,2.65817,0.02452,0.22751,0.20234,0.1381,0.06679,nan,nan,nan,0.000357552,0.000357552,0.000357552
74,10823.2,1.55761,2.62584,0.02389,0.22806,0.19669,0.13934,0.06821,nan,nan,nan,0.000356727,0.000356727,0.000356727
75,10969.2,1.5757,2.60922,0.02324,0.23511,0.20362,0.14688,0.07179,nan,nan,nan,0.000355901,0.000355901,0.000355901
76,11115.3,1.58242,2.61309,0.02344,0.21914,0.21258,0.14612,0.0737,1.77723,nan,0.03872,0.000355076,0.000355076,0.000355076
77,11260.9,1.54706,2.56794,0.0228,0.2173,0.19027,0.13515,0.06655,nan,nan,nan,0.00035425,0.00035425,0.00035425
78,11406.7,1.55693,2.55121,0.02324,0.23501,0.20972,0.15064,0.075,1.78303,2.83213,0.03886,0.000353424,0.000353424,0.000353424
79,11552.9,1.54446,2.56254,0.02236,0.20443,0.19602,0.13442,0.06633,1.76831,2.84902,0.0387,0.000352599,0.000352599,0.000352599
80,11698.5,1.53778,2.53372,0.02231,0.2259,0.20691,0.14856,0.07323,nan,nan,nan,0.000351773,0.000351773,0.000351773
81,11844.3,1.58899,2.56158,0.02341,0.23349,0.20796,0.15029,0.076,1.77523,2.78721,0.03861,0.000350947,0.000350947,0.000350947
82,11990.4,1.55973,2.53795,0.02294,0.22679,0.21329,0.15634,0.08037,1.73572,2.77597,0.03755,0.000350122,0.000350122,0.000350122
83,12136.1,1.5304,2.48384,0.02269,0.2418,0.20806,0.15115,0.07693,1.77155,2.81725,0.039,0.000349296,0.000349296,0.000349296
84,12282.2,1.55911,2.49396,0.02309,0.22313,0.21755,0.14835,0.07517,1.73759,2.8011,0.03762,0.00034847,0.00034847,0.00034847
85,12427.6,1.54064,2.47576,0.02288,0.23691,0.21562,0.15117,0.07737,1.75938,2.81274,0.03833,0.000347645,0.000347645,0.000347645
86,12572.7,1.51247,2.45127,0.0223,0.24416,0.20873,0.15146,0.07732,1.75325,2.79525,0.03802,0.000346819,0.000346819,0.000346819
